NAME,score
Weifang Xincun Street,0.004702259
Huamu Street,0.003066752
Jinyang Xincun Street,0.003556296
Jinqiao Town,0.002310157
Lujiazui Street,0.005195802
Gaodong,0.001193302
Gaoqiao Town,0.000230077
Gaohang Town,0.001312854
Liangcheng Xincun Street,0.00296039
Jiaxing Road Street,0.005458109
Guangzhong Road Street,0.004617008
North Bund Street,0.005810392
Quyang Road Street,0.004780982
Ouyang Road Street,0.005319159
Jiangwan Town Street,0.002613846
Tinglin Town,0.002726625
Jinshan Weizhen,0.002495767
Luxiang Town,0.000946072
Shanyang Town,0.00344153
Langxia Town,0.00050562
Zhangyan Town,0.003390818
Zhujing Town,0
Fengjing Town,0
Caojing Town,0.003527002
Petrochemical Street,0.000744049
Xianxia Xincun Street,0.003008283
Beixinjing Street,0.001558748
Huayang Road Street,0.003981782
Zhou Jiaqiao Street,0.003696988
Tianshan Road Street,0.00441378
Xinhua Road Street,0.005140067
Xinjing Town,0.001029756
Jiangsu Road Street,0.005137543
Chengjiaqiao Street,0.002716753
Hongqiao Street,0.005209104
Qibao Town,0.001570695
Huacao Town,0.000107517
Gumei Road Street,0.001615238
Wujing Town,0.000852276
Xinhong Street,0.001043539
Meilong Town,0.002156299
Jiangchuan Road Street,7.31E-05
Xinzhuang Town,0.002684245
Hongqiao Town,0.003048007
Zhunqiao Town,0.000578056
Maqiao Town,4.21E-05
Linfen Road Street,0.001771062
Gongxin Road Street,0.005262564
North Station Street,0.004813517
Daning Road Street,0.003076907
Tianmu West Road Street,0.005429618
Baoshan Road Street,0.004942786
Pengpu Xincun Street,0.001217845
Pengpu Town,0.001658938
Zhijiang West Road Street,0.005606468
Huaxin Town,3.55E-05
Xiayang Street,1.66E-05
Jing Town,0.000910624
Zhujiajiao Town,0
Baihe Town,0
Yingpu Street,0
Liantang Town,0
Zhaoxiang Town,0.000171758
Chonggu Town,5.01E-05
Jinze Town,0
Xianghuaqiao Street,0
Nanjing West Road Street,0.005408888
Caojiadu Street,0.004388519
Jiangning Road Street,0.004323033
Shimen Second Street,0.005345247
Jingan Temple Street,0.005162265
Bansong Garden,0.005105249
Nanjing East Road,0.006314547
The Bund,0.00517532
Little East Gate,0.005563036
Old Simon,0.00584702
Yu Garden,0.005902278
Nanqiao Town,0
Xidu Street,0.000142252
Pujiang Town,0.000408025
Pujin Street,0.000690658
Jiuting Town,0.000183669
Jiuliting Street,0.002119118
Fangsong Street,2.36E-05
Guangfulin Street,0
Chuansha New Town,0.00044862
Zhuqiao Town,0
Laogang Town,0
Nicheng,0
Changzheng Town,0.001725074
Wanli Street,0.001316719
Sichuan North Road Street,0.005455391
