0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1681,918,3458,1559,1124,726,1405,1397,1900,1829,3105,2200,1717,2169,978,2111,3669,1217,3273,5468,4349
1711,1367,3779,1998,1148,752,1724,1717,1928,1989,3837,2360,1969,2490,1001,2437,3721,1245,3591,5097,3973
1581,889,3176,1350,1214,885,1055,1101,1727,1798,3272,2175,1767,1881,917,1827,3838,1450,2982,5653,4536
1695,1333,3380,1957,1136,386,1439,1652,1913,1923,3236,2295,1849,2085,989,2031,4079,1229,3194,5316,4197
1624,979,3313,1618,1072,397,1369,1460,1843,1722,3169,2135,1502,2017,867,1964,3734,1150,3130,5373,4252
1721,1511,3406,1890,1167,698,1405,1574,1715,1602,3262,2012,1312,2111,1028,2055,4790,1255,3160,5516,4399
2134,1687,4001,2350,1625,708,1888,2035,2065,1714,3852,2186,1486,2692,1445,2475,4567,1672,3814,5232,4113
1627,1001,3222,1464,1160,752,1289,1162,1729,1637,3315,2033,1605,1931,753,1881,3985,1150,3034,5569,4452
1885,1456,3565,2135,1342,555,1635,1858,2048,1882,3433,2267,2220,2274,1357,2228,3942,1422,3379,5085,3961
2121,2712,2275,2271,2324,3169,2228,2508,2002,2519,834,3332,3358,1376,2612,1980,4518,2140,1540,7097,5992
2802,3408,1687,2993,2689,3377,2769,2814,2538,3007,1673,3499,4231,2645,2821,2749,5393,2563,736,8202,7095
2450,3017,2699,2588,2523,3207,2543,2826,2331,2851,1380,3680,3684,1719,2651,2324,3654,2393,2324,7426,6321
2770,3302,1692,2882,2940,3776,2832,3118,2648,3161,1186,3626,4360,2030,3233,2631,5103,2681,1379,7750,6645
2317,2879,2225,2453,2509,3355,2410,2690,2188,2713,282,3526,3541,1574,2802,2182,4739,2334,1628,7296,6192
2170,2746,2398,2312,2369,3213,2271,2552,2043,2581,1317,3394,3415,1453,2662,2045,4399,2133,1552,7159,6054
3161,3678,2495,3258,3317,4142,3209,3497,3040,3563,1603,4353,4412,2436,3610,3036,5203,3196,2458,8442,7335
2879,3325,2574,3059,2967,3803,2859,3145,2759,3188,452,4007,4029,2043,3260,2658,4905,2829,1743,7769,6664
3051,3733,2263,3308,3360,4181,3254,3537,2934,3458,1410,4046,4790,2325,3655,2932,4287,3117,2114,8047,6938
2300,2898,2145,2494,2201,2904,2273,2324,2039,2530,1948,3356,3371,1476,2352,2182,5013,2084,982,7662,6558
